date,text,"Status (Rescheduled, Postponed, Cancelled)",Artist/Festival Name,Genre,US (yes/no),Refund? ,Press Release Link?,Popularity??
12-May,"Two of England's most iconic festivals, Reading and Leeds, have canceled this summer's events. ""We've been closely monitoring this unprecedented situation and we were hopeful we could deliver the ultimate festival to you in August, something to look forward to in these strange and confusing times,"" read a statement. ""However, it has become clear that it's just not possible for this year's festival to go ahead."" The events were slated to feature the reunited Rage Against the Machine, Stormzy, Liam Gallagher, Migos, Run the Jewels and many more.",C,Reading and Leeds,Festival,No,,,
12-May,"Bob Dylan's ""Never Ending Tour"" has been put on ice for the summer. Dylan has canceled all of his summer dates, which were slated to kick off in early June and go through mid:July. ""In the interest of public health and safety and after many attempts to try and reschedule these shows for a workable timeframe this year, it is with deep regret that we announce the US Bob Dylan shows originally scheduled for June/July are cancelled,"" the folk rock icon tweeted.",C,Bob Dylan,Folk,Yes,,,
12-May,"The Black Keys have canceled their summer headlining tour.Â ""We are very disappointed to let you know the US Let's Rock Summer tour is no longer happening,"" the band said in a statement. ""We were looking forward to seeing you all out there, but the health and safety of our fans and crew has to take priority. We hope to see you all soon. Please stay safe!â€ Ticket holders will be emailed with refund options.",C,The Black Keys,Rock,Yes,,,
12-May,"Mad Cool Festival in Madrid, Spain announced it's postponing its fifth anniversary weekend one full year back, from July 8:11, 2020 to July 8:11, 2021. ""It has not been an easy decision to make, but we believe is the best one considering the present circumstances. Your health and safety are our priorities,"" the festival wrote in a press statement. ""You are all the most important thing for the festival, and we need you and your friends and family to be careful and follow all the recommendations established by the authorities."" It remains unclear whether the headliners, including Taylor Swift, Billie Eilish, Twenty One Pilots, The Killers, Mumford & Sons and more, will stay on the lineup.",P,Mad Cool Festival,Festival,No,,,
6-May,"The 1975 have canceled their massive Finsbury Park show.Â ""For now, keep safe, keep healthy and look after each other,"" read a statement shared to the band's social media.Â The event was set to take place on July 11 at the London park location.",C,The 1975,Rock,No,,,
6-May,"Pitchfork has canceled its annual music festival. ""It can be pretty daunting to think about the future of live music right now, but know that we are fully committed to bringing Pitchfork Music Festival back in 2021, if the public health situation allows for it,"" the publication said in a statement. ""In the meantime, we urge everyone to follow local health department guidelines.""",C,Pitchfork Music Festival,Festival,Yes,,,
5-May,"Global Citizen and Teneo announced Global Goal Live- The Possible Dream, the year-long campaign and multi-city series of events meant to drive impact for the world to achieve the United Nations Global Goals, will not take place on Sept. 26, 2020. The campaign will extend into 2021 and the major events will be postponed to Sept. 25, 2021.",P,Global Goal Live- The Possible Dream,Festival,No,,,
5-May,"Jack Antonoff announced that his Shadow of the City festival has been rescheduled for May 29, 2021. ""you all know the reasons why and that if there was any way to safely keep it, we would have,"" the statement reads. ""so why all the way to may 2021? because i don't want to mess around. in all our research that is a date that is truly realistic and this show can't be a moving target.""",R,Shadow of the City Festival,Festival,Yes,,,
4-May,"Snoop Dogg announced his U.K. & Ireland I Wanna Thank Me Tour will now take place in Feb. 2021. The tour features Warren G, Tha Dogg Pound, Obie Trice, D12 and Versatile.",R,Snoop Dogg,Rap/R&B,No,,,
4-May,"JourneyÂ has canceled their 2020 tour. They were set to hit arenas around North America withÂ The Pretenders.Â â€œThere is no greater thrill for us than playing for our incredibly devoted audience, but their safety must come first,"" Journey said in a statement.",C,Journey,Rock,No,,,
4-May,"Dave Matthews Band has moved their summer 2020 tour dates to 2021. ""We make this decision with the health, safety, and well:being of our fans, touring crew, and venue staff as our priority,"" DMB said in a statement. See more info here.",R,Dave Matthews Band,Rock,Yes,,,
4-May,Canadian Music Week will skip the Toronto music conference and festivalâ€™s 2020 edition due to overriding concern for the safety of all participants and attendees. The event had already been postponed from May 19:23 when the coronavirus pandemic hit in March and was rescheduled for Sept. 9:11 at the Sheraton Centre and various venues.,P,Toronto Music Festival,Festival,No,,,
1-May,"The Lumineers have cancelled all of their May and June tour dates. ""Like all of you, we've been closely monitoring the ongoing global pandemic. We are deeply disappointed to announce the cancelation of all of our May and June tour dates,"" the band said in a statement.Â According to a release, ""Fans who purchased tickets for the upcoming shows scheduled at Live Nation venues will have the option for a full refund, or a credit for 150% of the purchase price and the number of tickets originally purchased will also be donated to healthcare workers."" Learn more here.",C,The Lumineers,Folk,Yes,,,
1-May,"Kesha's 2020 High Road tour with Big Freedia will not be happening in 2020.Â ""Thank you for being here, and for your understanding,"" she wrote on Instagram. ""Please stay tuned for more info about new tour dates in 2021. Iâ€™m going to boogie with you SO hard next year.Â Â Stay well and stay strong, wishing all of you health!Â XOXO. at the end of a storm comes a rainbow.""",P,Kesha,Pop,Yes,,,
1-May,"Phish rescheduled their 2020 tour. ""Â Weâ€™ve been as excited as ever to play music for you all, and are so heartbroken to postpone these dates. The health and well:being of Phish fans, our touring crew, and the communities in which the band plays is our top concern,"" the band wrote on Instagram.",R,Phish,Rock,Yes,,,
1-May,Rage Against the Machine announced rescheduled dates for their reunion tour with Run the Jewels. See it here.,R,Rage Against the Machine,Rock,Yes,,,
1-May,The June dates of Reba McEntire's Las Vegas residency with Brooks & Dunn were canceled.Â The show is set to return to the Colosseum at Caesars Palace in October.,C,Reba McEntire,Country,Yes,,,
1-May,"Kelly Clarkson gave an update about her Las Vegas residency at the Zappos Theater in Planet Hollywood, which was previously pushed back to July 2020 but will now not take the stage until 2021. ""There is just too much uncertainty going on right now, and we want to make sure everybody's safe and we want to make sure everybody can have a good time when you come see me in Vegas:: no one's worrying about anything,"" she said. ""We should be good by then, right?""",P,Kelly Clarkson,Country,Yes,,,
30-Apr,Brian Wilson's Good Vibrations-- Greatest Hits Live UK & European dates will be rescheduled in 2021.,R,Brian Wilson,Pop,No,,,
30-Apr,"Lionel Richie canceled his 2020 European tour, assuring fans that ""efforts are being made to reschedule these dates to take place in the summer of 2021.""",C,Lionel Richie,Pop,No,,,
30-Apr,Bon Iver has rescheduled the band's tour of Australia and New Zealand for March/April 2021.,R,Bon Iver,Folk,No,,,
29-Apr,"Bad Religion has canceled all tour dates for 2020. ""As everyone is well aware, the ongoing hazard of Covid-19 has made it unsafe to gather in large groups. Therefore, to maintain the health of our fans, crew, and ourselves,Â Bad ReligionÂ will not be playing any shows in 2020,"" the band shared on Instagram. ""When it is safe for all of us to gather together, we will return. Until then, be safe, and take care of each other.""",C,Bad Religion,Rock,Yes,,,
28-Apr,BTS has postponed their entire world tour.,P,BTS,K-Pop,Yes,,,
28-Apr,"Hinder is pushing back the 15th anniversary tour of their debut album, Extreme Behavior.Â See the band's website for rescheduled dates.",R,Hinder,Rock,Yes,,,
28-Apr,Hayley Williams postponed her European and North American solo tour dates:: which were slated to kick off in May:: until 2021.,P,Hayley Williams,Rock,Yes,,,
27-Apr,"The Foo Fighters rescheduled their June European tour dates for 2021. The July 4 concert in Landover, Md., has been canceled.",R,Foo Fighters,Rock,No,,,
25-Apr,"Louisville's ""Trifesta,"" which includes the Louder Than Life, Hometown Rising and Bourbon & Beyonce festivals, cancel their 2020 editions. Producer Danny Wimmer Presents explained in a statement that, ""even though the festivals are not until September, the advanced planning realities of producing three back-to-back events have necessitated that a decision be made sooner than later.",C,"Trifesta- Louder Than Life, Hometown Rising and Bourbon & Beyonce festivals",Festival,Yes,,,
24-Apr,"Sparta has canceled its 2020 tour dates, with plans to hit the road instead in 2021. The Jim Ward-fronted group has just released its new album, Trust the River.",C,Sparta,Rock,Yes,,,
22-Apr,"Little Mix announced that their U.K. summer tour is canceled due to the government's advice about social distancing. ""Please stay safe and stay home, lots of love,"" they tweeted.",C,Little Mix,Pop,No,,,
22-Apr,"Insane Clown Posse announced that their annual Gathering of the Juggalos is canceled this year. ""We can't possibly in good conscience even consider trying to put on a Gathering during these times,"" the group shared in an Instagram post. ""The bottom line is we simply REFUSE to risk even ONE Juggalo life by hosting a Gathering during these troubling times.""",C,Insane Clown Posse,Rap/R&B,Yes,,,
22-Apr,"Hayley Williams is rescheduling her U.K. and Europe tour dates in support of Petals for Armor for 2021. She also announced that U.S. dates will be pushed back, but has not yet provided new dates. ""We will be together again,"" she tweeted along with an image of her announcement.",R,Hayley Williams,Rock,No,,,
22-Apr,"Ireland's Longitude 2020 festival has been canceled, but plans to return next year. ""While we are obviously devastated that Longitude wonâ€™t be going ahead, the health and safety of our fans and staff is paramount and we fully respect the Governmentâ€™s decision,"" the organizers said, noting the country's order that any events with a capacity of 5,000+ must be postponed through Aug. 31, 2020. ""We would like to take this opportunity to thank the frontline workers currently giving their all to keep us safe.""",C,Longitude Festival,Festival,No,,,
21-Apr,"The Dutch WOO HAH! festival-- slated to feature Kendrick Lamar, A$AP Ferg, Lil Tecca, DaBaby, Ski Mask the Slump God and others-- is moving back one year to July 2-11, 2021.",R,WOO HAH! festival,Festival,No,,,
21-Apr,"The first seven dates of the Big Rock Summer Tour in May and June are being rescheduled. The outing slated to feature Ratt, Tom Keifer of Cinderella, Skid Row and Slaughter has not yet announced when the shows:: June 3, 6, 9, 10, 12, 13 and 14:: will take place.",R,Big Rock Summer Tour,Rock,Yes,,,
21-Apr,"Dead & Company announced on that they've made the decision to cancel their 17:date summer tour.""Because of the global coronavirus outbreak and to help prevent the spread of COVID:19, we have no choice but to cancelÂ Dead & Company's Summer Tour 2020,"" the band wrote in a statement.Â ""The well:being and safety of our Deadhead community, venue staff and the bandâ€™s touring family is of the utmost importance. We also want to get refunds back to our fans while so many are hurting economically. All tickets will be fully refunded at point of purchase.""",C,Dead & Company,Rock,Yes,,,
21-Apr,"Shambhala Music Festival 2020 will not happen due to coronavirus. In a statement released by the Canadian electronic festival Tuesday (April 21), organizers announced that the event scheduled for July 24:27, 2020, will be ""postponed"" until July 2021, when the next iteration of the festival was scheduled to occur.",P,Shambhala Music Festival,Festival,No,,,
21-Apr,"Las Vegas' Life is Beautiful festival has announced that the three:day event will not happen this year due to the coronavirus. However, Life is Beautiful is working to create new initiatives that will impact supporters on a local, national and global scale, in addition to making a full return with the festival in 2021.â€œItâ€™s clear the health and economic hardships from the COVID:19 crisis will impact us all for some time to come,â€ festival organizer Justin Weniger said in a statement. â€œIn light of this, we made the determination to re:examine the role Life is Beautiful plays in the community and how we can put our resources, creativity and time into doing what we always set out to do: inspire and bring together a community.â€",C,Life is Beautiftul Festival,Festival,Yes,,,
20-Apr,"Bon Jovi announced on April 20 that they are canceling their 2020 North American tour. ""Due to the ongoing global pandemic, it is no longer feasible for Bon Jovi to tour this summer. Given these difficult times, we have made the decision to cancel the tour entirely,"" the band shared in a statement. ""This will enable ticketholders to get refunds to help pay their bills or buy groceries. These are trying times.""",C,Bon Jovi,Rock,Yes,,,
20-Apr,"Iron Maiden canceled their Legacy of the Beast shows, scheduled for June and July, in Germany due to the government's extension of the ban on large gatherings through August. ""We all need to help bring an end to this Pandemic by following the advice and helping one another when we can, especially the more vulnerable,"" the band's manager tweeted from the Iron Maiden account. ""We want to see you all healthy and well when we make it to your country. And we want to see you as much as you want to see us!""",C,Iron Maiden,Rock,No,,,
20-Apr,"NYC Pride canceled all in:person events for their 2020 festival, in conjunction with Mayor Bill de Blasio's office, which voided all large event permits in the city for the month of June. Pride Island, the annual music festival held each year whose 2020 roster boasted Janelle Monae as a headliner, was among the many events canceled.Â ""As the days have passed, it has become more and more clear that even with a decline in the spread of COVID:19, large:scale events such as ours are unlikely to happen in the near future,â€ NYC Pride co:chair Maryanne Roberto Fine said in a statement released with the news. â€œWe understand that we need to reimagine NYC Pride events: and have already begun to do just that.""",C,NYC Pride,Festival,Yes,,,
17-Apr,"For the first time in its 53-year history, the Montreux Jazz Festival won't take place. The famous Swiss fest was scheduled for July 3-18 with performers includingÂ Lionel Richie, Brittany Howard, Lenny Kravitz and Black Pumas. Organizers are working on booking those artists and others for the summer 2021 fest.",C,Montreux Jazz Festival,Festival,No,,,
17-Apr,"Against Me! have canceled their May tour of North America with Baroness. Refunds can be obtained from the original point of purchase. ""I hope that it's apparent that this is absolutely not at all what any of us want, and if we had any real choice in the matter we would for sure be out on the road this May,"" said frontwoman Laura Jane Grace in a statement. ""My definite hope is that this tour does still happen at some point in the future when able.""",C,Against Me!,Rock,Yes,,,
17-Apr,"Shawn Colvin's 30th anniversary shows for Steady On have been rescheduled, and a new March 2021 date added. Tickets will be honored for the new dates. More information about the new dates an tickets is available here.",R,Shawn Colvin,Pop,Yes,,,
17-Apr,"The Black KeysÂ haveÂ canceledÂ their May Canadian tour. â€œWith the safety of our fans and crew in mind, our upcoming Canadian tour this May has been canceled,â€ they wrote in a statement. â€œWe are sad to miss these shows, and we hope to see you all soon. Refunds will be issued at the point of purchase. Please stay safe!â€",C,The Black Keys,Rock,No,,,
16-Apr,"Louisville, Kentucky's Forecastle Festival (July 17-19), scheduled to feature Jack Johnson, Cage The Elephant, The 1975, and many more has canceled the 2020 edition. Organizers area offering automatic refunds at the point of purchase.",C,Forecastle Festival,Festival,Yes,,,
16-Apr,"Santana's May 2020 dates at the House of Blues Las Vegas have been canceled; refunds are available at the point of purchase. Carlos Santana plans to continue his residency, ""An Intimate Evening With Santana: Greatest Hits Live,"" Sept. 16:27 and Nov. 4:15 at the same venue.",C,Santana,Rock,Yes,,,
16-Apr,"The EAMC Board Officers, Board of Directors and Planning Committee, have announced that they will reschedule the 2020 Event and Arena Marketing Conference to June 2021. In lieu of the 2020 conference that was set to take place in June, EAMCÂ will have EAMC at Home starting April 30 with a series of webinars.",R,,,,,,
16-Apr,"The 2020Â New Orleans Jazz and Heritage FestivalÂ was officially canceled Thursday. Festival organizers had already postponed the festival, which usually spans two spring weekends, until the fall. But they announced on the festival website that they would not attempt this year to hold the event.",C,New Orleans Jazz and Heritage Festival,Festival,Yes,,,
15-Apr,"Thom Yorke announced that the U.S. leg of his Tomorrow's Modern Boxes tour has been postponed until the fall. Tickets for the original shows will be honored at the concerts in the same cities and venues. The only exceptions are the Fairfax, Va., show, which has moved to D.C.; Chicago, which has a venue change; and St. Paul, Minn., which has been canceled. The musician shared the announcement, new dates, and refund information via a tweet.",P,Thom Yorke,Rock,Yes,,,
15-Apr,"Foals and Local Natives have canceled their joint U.S. and Canada tour due to the global pandemic. ""We are heartbroken that we can't be together this summer toÂ play for you,"" they said in a statement. In the meantime, the bands are releasing the remixes they did: The Foals' take onÂ Local Natives' ""Dark Days"" and Local Natives' remix of Foals' ""Neptune,"" which they were going to originally release at the tour's kickoff, are available here now.",C,Foals and Local Natives,Rock,Yes,,,
15-Apr,"The SWANS have rescheduled their North American tour dates for January and February 2021. Tickets for all of their 2020 shows will be honored in their cities, with the exception of Austin Festival. Tour dates and ticket information is available here.",R,The SWANS,Rock,Yes,,,
15-Apr,"Initially rescheduled from its original July 2020 dates to later in the fall, the 2020 Essence Festival of Culture is now officially canceled and will return in 2021. The cancellation was announced Wednesday (April 15) following New Orleans Mayor LaToya Cantrellâ€™s recommendation that â€œno large events take place in New Orleans in 2020â€ owing to the coronavirus pandemic. Essence will honor all tickets sold for the 2020 festival in 2021 and will also offer full refunds.Â Ticket holders can visitÂ essencefestival.comÂ for further information. The company also announced the establishment of the Essence Benefit Series to Fight COVID:19 that will raise money and provide support for businesses and organizations in black communities across the country. And the first:ever Essence Festival of Culture: The Virtual Edition will take place over July 4 weekend.",C,Essence Festival of Culture,Festival,Yes,,,
15-Apr,"Tomorrowland 2020, scheduled for July 17:19 and July 24:26, has been canceled due to coronavirus.In a statement released earlier Wednesday (April 15), organizers of the Belgian dance mega:festival wrote that ""Unfortunately, due to the worldwide coronavirus outbreak, these are exceptional times for all of us. In recent weeks, we have had a lot of consultation with the local and national government in Belgium and with a panel of international experts about the two festival weekends we are all so passionate about. It's our mission to unite souls from all over the world, but itâ€™s also our top priority to look after the well:being, health, and safety of the People of Tomorrow, our partners and suppliers, our neighbors, the artists, and our team.""",C,Tomorrowland 2020,Festival,No,,,
14-Apr,"Summerfest in Milwaukee, WIÂ announced that the first rescheduled concert for fall with country artist Sam Huntand special guests Kip Moore, Travis Denning, and ErnestÂ will now take place on Friday, September 4, 2020 at the American Family Insurance Amphitheater.Â Summerfest previously announced that the 2020 edition of the festival will take place over 3 weekends- September 3-5, 10-12, and 17-19.",R,Summerfest,Festival,Yes,,,
14-Apr,Godsmack singer Sully Erna announced that the band's planned summer tour with The Pretty Reckless has been cancelled. No information has been announced about make:up dates.,C,Godsmack,Rock,Yes,,,
13-Apr,International drag performerÂ Violet ChachkiÂ has announcedÂ rescheduled spring and summerÂ dates for herÂ A Lot More MeÂ North American Tour. It will now start inÂ SeptemberÂ and run throughÂ February 2021. VisitÂ VioletChachki.comÂ for the latest information.,R,Violet Chachki,Pop,Yes,,,
11-Apr,"Shania TwainÂ has canceled all of her Las Vegas residency performances at the Zappos Theater through June 6 ""in accordance with CDC recommendations regarding events."" At this time, her Let's Go! show is scheduled to resume in August.",C,Shania Twain,Country,Yes,,,
10-Apr,LOCKN' postponed its annual festival until Oct. 1-4. The lineup will be announced at a later time; previously purchased tickets will be honored for the rescheduled dates.,P,LOCKN',Festival,Yes,,,
9-Apr,"Tegan and SaraÂ have postponed their Tonight We're Seeing Colors Tour. ""We are desperate to get out on tour and can't wait to see you all,"" Tegan Quin said in a video to fans.",P,Tegan and Sara,Pop,Yes,,,
9-Apr,"NYC's Lincoln Center for the Performing Arts canceled its summer program series for 2020, which includesÂ Midsummer Night Swing, the Mostly Mozart Festival and Lincoln Center Out of Doors.",C,,,,,,
9-Apr,"Burning Man announced that it decided ""not to build Black Rock City in 2020."" The festival will provide refunds to all who need it. To replace the festival, which was scheduled from August 30 to September 7, the event are ""going to build Black Rock City inÂ The Multiverse,""Â announced in a statement here. ""Thatâ€™s the theme for 2020 so weâ€™re going to lean into it. Whoâ€™d have believed it would come true? We look forward to welcoming you toÂ Virtual Black Rock City 2020. Weâ€™re not sure how itâ€™s going to come out; it will likely be messy and awkward with mistakes. It will also likely be engaging, connective, and fun.""",C,Burning Man,Festival,Yes,,,
8-Apr,"WOMAD canceled its annual festival this year, and will proceed to plan for the 2021 event instead. ""Safety for all of our festivalgoers, artists and our own staff surpasses everything,"" festival co-founder Peter Gabriel said in a statement. ""Many of the artists have already offered, or agreed, to play for us next year and we will now put our energies into making a great WOMAD 2021.""",C,WOMAD,Festival,No,,,
7-Apr,"The June installment of the biannual dance-centric pool party Splash House has been canceled. In a statement, organizers announced- ""After careful thought, and in following the guidance of local, state and national authorities we are sad to announce that the June edition of Splash House will not take place this year.""",C,,,,,,
6-Apr,"London's 2020 La Linea Latin music festival, originally slated to run in April and May, is rescheduled for September and October.",R,La Linea Latin music festival,Festival,No,,,
6-Apr,"PromoWest Productions announced the cancellation of the 2020 Bunbury Music Festival, citing current government mandates and circumstances surrounding COVID:19. The ninth annual event was originally scheduled forJune 5:7 at downtown Cincinnatiâ€™s Sawyer Point and Yeatmanâ€™s Cove.",C,Bunbury Music Festival,Festival,Yes,,,
6-Apr,"â€¦And You Will Know Us by the Trail of DeadÂ announced today that their spring North American headline tour dates set to kick off later this month, have been rescheduled to July 2020.",R,And You Will Know Us by the Trail of Dead,Rock,Yes,,,
6-Apr,"Marty Stuartâ€™s 19thÂ â€œLate Night Jam,â€ the annual concert during CMAâ€™s Music Festival at Nashvilleâ€™s Ryman Auditorium, has been canceled due to coronavirus concerns. Marty Stuart & His Fabulous Superlatives haveÂ also postponed dates throughout the spring. ""The safety and health of our fans and crew are our top priorities,"" Stuart noted. See more information here.",C,Marty Stuart,Country,Yes,,,
6-Apr,"As a result of the COVID:19 pandemic, for the first time in forty:four years the 2020 Beale Street Music Festival has been rescheduled to the fall. The three:day event, which was set to take place from May 1:3, will now take place in Tom Lee Park on the banks of the Mississippi River, Oct. 16:18 in downtown Memphis.",R,Beale Street Music Festival,Festival,Yes,,,
4-Apr,"Bad Bunny's upcoming San Juan, Puerto Rico, shows were set to take placeÂ on May 11 and 12 at the Hiram Bithorn Stadium, but have now been rescheduled for Oct. 30 and 31.",R,Bad Bunny,Rap/R&B,No,,,
