"","date","text","Status..Rescheduled..Postponed..Cancelled.","Artist.Festival.Name","Genre","US..yes.no.","Refund.","Press.Release.Link.","Popularity..","cancellation_text","url","article_text"
"11","1-Jun","Motley Crue, Def Leppard, Poison and Joan Jett announced that their summer stadium tour of North America is postponed until next summer, with rescheduled dates to come. Tickets will be honored at rescheduled shows; refund information is not yet available.","P","Motley Crue, Def Leppard, Poison and Joan Jett","Rock","Yes",NA,NA,NA,"Motley Crue, Def Leppard, Poison and Joan Jett covid cancel refund","https://www.masslive.com/music/2020/06/motley-crue-def-leppard-cancel-fenway-park-concert.html","“The new stadium dates are being rescheduled,” the four acts wrote in a group statement. “Your tickets will be honored for all postponed shows and refund policy information will be made available shortly. Stay tuned, be safe, and we will see you next year!”"
"12","29-May","The Faith No More and Korn joint tour, which was set to kick off in August,Â has been canceledÂ ""out of an abundance of caution for the safety of our fans, crew, and fellow artists."" Faith No More said that ticketholders will be emailed about refund options.","C","Faith No More and Korn","Rock","Yes",NA,NA,NA,"Faith No More and Korn covid cancel refund","https://pitchfork.com/news/faith-no-more-cancel-us-tour-due-to-covid-19/","Faith No More’s North American tour was slated to kick off August 7 in Denver, and stop in Irvine, Dallas, Brooklyn, and more before wrapping up in Maryland Heights, Missouri on September 17. Their European tour has been rescheduled to 2021. Ticketholders will be emailed with refund options. The band’s most recent studio album, Sol Invictus, was released in 2015."
"13","27-May","Rammstein announced their 2020 North American tour will be rescheduled to 2021. ""Sadly, but in the best interests of everyoneâ€™s health and safety, we have to postpone our North America Tour. We are now working on rescheduling the tour in 2021,"" the group tweeted.","R","Rammstein","Rock","Yes",NA,NA,NA,"Rammstein covid cancel refund","https://www.rammstein.de/en/news-en/",""
"14","24-May","Josh Groban postponed his Radio City Music Hall residency shows until 2021. See the new dates here.","P","Josh Groban","Pop","Yes",NA,NA,NA,"Josh Groban covid cancel refund","https://www.tampabay.com/news/health/2020/03/12/coronavirus-event-cancellations-in-tampa-bay/","Ruth Eckerd Hall: The venue is rapidly postponing events there and at the Bilheimer Capitol Theatre and elsewhere. They’ve established a website with ticket refund and exchange information, as well as the latest affected shows as they are announced. Among those added Friday: Jill Scott, Bruce Hornsby, Graham Nash, Frankie Valli and Patton Oswalt. Click here for an updated list. 2020 Reggae Rise Up: The festival, which was to bring Damian Marley, Dirty Heads and Slightly Stoopid to Vinoy Park March 20-22, has been postponed until Oct. 2-4, according to a statement from organizers. There will be no refunds. Brooksville Blueberry Festival: The annual festival, scheduled for April 25 and 26 in Hernando Park, has been cancelled. “We will contact vendors and sponsors regarding refunds/rollovers,” says a post on the group’s Facebook page. Hunahpu’s Day 2020: Cigar City Brewing’s wildly popular annual release of Hunahpu’s Imperial Stout, held for more than a decade for Tampa Bay Beer Week, has been canceled. It was to have been held Friday at Amalie Arena. The brewery is offering a $100 refund for this year’s festival or a ticket to next year’s festival and four bottles of Hunahpu’s Imperial Stout for the 2021 festival. Bottle pickup will be extended through June 30 at the brewery. Brews With Attitude: Pepin Distributing Company has canceled the 10th annual beer festival, scheduled for April 16 at TPepin’s Hospitality Centre in Tampa. “After careful consultation with various members of our community and our team, regarding the health and safety of everyone in our industry — we have made the difficult decision to cancel #BrewsWithAttitude Beer Fest,” reads a March 12 announcement posted to the company’s Facebook page. “Any ticket purchases will be fully refunded through Event Live.” Click here."
"15","20-May","Beck has canceled his 2020 European tour. ""Due to continued restrictions on public gatherings, and in the interest of public safety, the below Beck shows will not be happening as scheduled,"" his official Twitter account shared. ""Weâ€™re working to reschedule as many of these shows as soon as it is safe to do so and will keep you updated along the way. Please refer to point of purchase for ticketing/refund information. Beck is very sorry about this situation and is looking forward to getting back on stage as soon as possible.""","C","Beck","Rock","No",NA,NA,NA,"Beck covid cancel refund","https://beckinstitute.org/get-training/cbt-workshop-policy/","If you are not able to attend due to a denied visa, we will refund your entire registration fee, less a $50 administrative fee. There are times when Beck Institute may need to cancel a workshop. Though we would not do so without good reason, we reserve this right, as well as the right to reschedule workshops and/or substitute presenters. In the case of a cancelled or rescheduled workshop, we will transfer your registration to the next-scheduled or rescheduled workshop on that topic. If you cannot or prefer not to transfer your registration, you may request a full refund of workshop fees paid. CBT store items are non-refundable. You may exchange damaged items or wrong orders. Exchanges are not allowed after 30 days. Electronic downloads are not returnable. All Beck CBT Certification fees are non-refundable, including the initial application fee, any work sample fees, and your recertification fee."
"16","19-May","James Taylor and Jackson Browne announced their 2020 tour dates are officially moving to 2021. ""We were hoping to reschedule the tour a bit sooner but the experts we consulted have advised waiting for a full year. We thank you all for your patience and understanding and are really encouraged by the majority of you who are holding onto your tickets. We WILL honor them,"" the duo said in a statement.","R","James Taylor and Jackson Browne","Rock","Yes",NA,NA,NA,"James Taylor and Jackson Browne covid cancel refund","https://www.sandiegouniontribune.com/entertainment/music/story/2020-04-03/james-taylor-jackson-browne-justin-bieber-postpone-tours-because-of-coronavirus-fka-twigs-cancels","Previously purchased tickets for Taylor and Browne’s tour will be honored for all new dates, according to a Taylor representative, and fans “are encouraged to hold onto their tickets.” While the statement does not mention refunds, it does indicate that ticket-holders who have questions should “contact your point of purchase directly.”"
"17","18-May","England's Ramblin' Man Fair 2020 has been canceled. The event originally slated to take place at Mote Park in Maidstone, Kent, on July 17-19 with sets from Lynyrd Skynyrd, Hawkwind, Clutch, Rival Sons and more was forced to call this year's gathering off because the UK is not permitting mass gatherings.","C","Ramblin' Man Fair","Festival","No",NA,NA,NA,"Ramblin' Man Fair covid cancel refund","https://www.ramblinmanfair.com/insider/news/ramblin-man-fair-2020-statement/","We would like to address the refunds process. Within the next seven days all ticket holders will be receiving an email asking whether you wish to request a refund for your 2020 tickets or roll over those tickets to Ramblin’ Man Fair into 2021.  Ramblin’ Man is an independent festival. It does not have the resources that a Live Nation or an AEG holds. If everyone who holds a 2020 ticket wishes to take a full refund then the 2021 festival becomes a far harder task to put on to the level that we would all wish to see. To that end we have some incentives that we would like to put forward to our Ramblers in an effort to persuade you to roll your ticket over to 2021. *Request a ticket refund. All glamping bookings will be valid for 2021 should you decide to attend the rescheduled 2021 event, otherwise you can request a refund direct from Zoobell. All things considered I would like to request a refund of my RMF 2020 tickets. How do I go about it? To claim your refund simply select the ‘Refund’ option on the email that will be sent to the address you used to originally book your tickets. We will try our best to process your request within 28 days of the refund deadline.  If you want a refund, we ask that you make this request by June 1. We will not be able to process refunds after this date.  I bought tickets for a group of people, not just myself and we cannot all decide if we all wish to attend next year so can I part refund some tickets on my group booking? Yes, you can choose to part refund on a group booking. Upon selecting ‘Refund’ option you will be directed to your original booking page and the number of tickets that you tribally ordered is still listed so you can alter that figure and claim a part refund and choose to leave an allocation to roll over to 2021. You could of course also choose to keep all the tickets in the allocation and gift them to someone else. How long do I have to decide if I want a refund? The deadline for refund request is June 1 2020. You must respond to your email by that time.  I have requested a refund, when will I receive the funds? We hope to have all refunds processed by June 30. Please allow additional time for the funds to reach your accounts."
"18","15-May","NCT 127 have cancelled their 2020 North American tour. ""NCTzens! Iâ€™m very sad to say that because of the current situation we will be having to cancel the North American tour,"" the band's Johnny tweeted. ""We know that you guys were looking forward to the new tour as much as us. Weâ€™ll make sure to keep you guys smiling one way or another, and make sure that the next time we tour itâ€™ll be the most magical. Thank you guys always, stay safe, stay healthy. We love you.""","C","NCT 127","K-Pop","Yes",NA,NA,NA,"NCT 127 covid cancel refund","https://www.forbes.com/sites/tamarherman/2020/03/11/k-pop-cancellations-due-to-coronavirus-fallout-shake-industry/",""
"19","14-May","Kenny Chesney has pushed all the dates on his NFL stadium Chillaxification tour to 2021.Â ""No one has tried harder than my team to make the 2020 Chillaxification Tour a reality,"" Chesney wrote in a note to fans. ""Sadly, we canâ€™t find a way to make it safe to navigate water thatâ€™s just not getting any clearer."" Original tickets will automatically be valid for the rescheduled show dates.","R","Kenny Chesney","Country","Yes",NA,NA,NA,"Kenny Chesney covid cancel refund","https://www.tampabay.com/news/health/2020/04/21/got-tickets-to-a-canceled-or-postponed-event-heres-how-to-get-a-refund/","Not long after, though, that policy changed. When Lisa DeWitt reached out about a refund, she was told no refunds would be offered — her tickets would instead be good for the 2021 festival. That original Facebook statement, which she’d screenshotted, was gone within 24 hours. “These ‘no refund’ policies, when the event is rescheduled, are clearly noted on our ‘Ticket Information’ language on our website and was a condition of every online sale through Etix,” the festival’s website now states. With tens of thousands of concerts, festivals and sporting events shut down from March through the foreseeable future, many consumers are getting antsy about whether they can get refunds for their tickets. On April 17, Ticketmaster President Jarred Smith tweeted that the company does not “intend to withhold refunds on postponed shows.” That has not stopped New York state officials from launching an investigation into whether the company subtly changed its refund policy in the wake of COVID-19. (The company has said it was a clarification, not a change.) And it has not stopped two members of Congress, Democrats Katie Porter and Bill Pascrell Jr., from calling upon Ticketmaster to refund everything. According to Variety, two major promoters, Live Nation and AEG, have initiated a refund program that will kick into place May 1. If a concert is canceled, fans will either be automatically refunded, or in some cases must request a refund. If, however, a concert is postponed to a new date, ticketholders will have 30 days from that point to request a refund through Live Nation-owned sites (like Ticketmaster) or AEG-owned sites (like AXS). Ticketmaster has also said it will waive its seller fees for resale postings created through May 31. In an email, Tampa Bay Blues Festival president Charles Ross said the festival initially tried to refund buyers who couldn’t attend the rescheduled festival “for serious reasons like medical events, family commitments, etc.,"" but it became “too complicated to interface with the buyers, so we chose to follow our published procedures.” They did change their policies to allow ticketholders to resell passes to a third party. It doesn’t feel that way to DeWitt, who has started a private Facebook group, “TBBF We Want Our Refund,” for ticketholders to vent about the festival’s refund policy. “I don’t know what next April is going to bring, and whether or not I can travel from Colorado,” she said. “I understand their plight, but they also publicize that they sell out their VIP tickets every year. So why can’t they just refund our money, like they said they were going to, and sell to someone else?” In general, tickets purchased for an event that’s been canceled can be refunded. For most online purchases, that will happen automatically, but it’s good to confirm that through the retailer or venue. Most tickets to postponed events will be honored on the new date. One caveat: Many organizations have closed or changed their box office hours; those that are open may be dealing with high call volume. And some venues require you to wait until a new date has been announced before inquiring about a refund. So if you can’t get answers immediately, be patient. Here’s how some Tampa Bay venues and entities are handling ticket refunds. If there’s an organization not on this list, and you want to know whether you can get a refund, contact us here, and we’ll try to add it. Amalie Arena: It’s a confusing time to be a ticketholder at Amalie Arena, between events being postponed, moved, canceled — and then there’s the Lightning, who have their own ticket refund policy. The arena has outlined what’s going on with each of its events here. Florida Orchestra: The orchestra, like other nonprofits, is encouraging people to consider donating the cost of their ticket, or exchange it for credit for a future performance. But those specifically requesting refunds can get them by contacting (727) 892-3337 or ticketcenter@floridaorchestra.org. The Palladium: The St. Petersburg theater, like a lot of venues, is asking patrons to consider keeping their tickets, exchanging them for credit or donating the cost to its programs. But it is also allowing ticketholders to request refunds. Click here for details. Raymond James Stadium: Refunds are already available for the Sunset Music Festival (see below) and Tampa Bay Vipers. Refunds will be available for Kenny Chesney, once a new date is announced. The Rolling Stones, who have pushed back their July 5 show, have not yet announced whether refunds are available. Click here. David A. Straz Jr. Center for the Performing Arts: The Straz Center has always offered ticket refunds for canceled or postponed events, and is keeping that policy during the pandemic. Ticketholders may also choose to donate the value of their ticket to benefit an organization like Opera Tampa or the Patel Conservatory, or receive credit for a future show. Contact comments@strazcenter for more options. Click here for details. Tampa Theatre: At the moment, ticketholders may receive refunds for events that have been canceled. For events that have been postponed, they must wait for the new date before contacting the box office about refund options. In the meantime, contact gargoyles@tampatheatre.org for information. Click here for details. Sunset Music Festival: After the massive electronic music festival at Raymond James Stadium was postponed from May 23-24 to July 3-4, organizers promised “tickets will be 100 percent refunded in entirety, including service fees” — but only until April 24. Click here for details. Tampa Bay Blues Festival: After initially announcing tickets to the 2020 event could be refunded, organizers decided that won’t be the case. They will, however, assist in reselling tickets for those who cannot attend on April 9-11, 2021. Click here for details. Reggae Rise Up: Upon postponing their event from March until Oct. 2-4, the St. Petersburg reggae-rock festival announced there would be no refunds (which is in keeping with their normal rain-or-shine ticket policy). However, because of some lineup changes for the new dates, organizers are allowing some ticketholders to swap their daily tickets as follows: Friday tickets may be swapped for Sunday tickets (and vice versa), and GA Friday-Saturday tickets may be swapped for GA Saturday-Sunday tickets (and vice versa). Click here for details."
"20","14-May","Kiss have postponed their 2020 Kiss Kruise. ""The KISS Kruise X will now set sail October 2021 from Port of Miami,"" a statement on the website reads. ""We will notify you of the exact new sailing dates, lineup and updated event information just as soon as we have all the details finalized. We have extended an invitation for all currently booked artists to join us in 2021 and are excited to share our final lineup featuring some returning and new acts for next year. For a full FAQ and details of the new programs and policies, including transfers and beverage package options, please visit: sixthman.net/assurance. As we embark upon rescheduling an entire Summer and Fall season, we greatly appreciate your patience and understanding as we diligently work to provide you with updated event information as quickly as we can.""","P","Kiss","Rock","Yes",NA,NA,NA,"Kiss covid cancel refund","https://www.tripadvisor.com/ShowTopic-g1-i10702-k9337466-Kiss_and_Fly_Do_No_Use-Air_Travel.html","i just had an interaction with this company that leads me to believe they are running a scam. I booked a round trip (ta && ta.queueForLoad ? ta.queueForLoad : function(f, g){document.addEventListener('DOMContentLoaded', f);})(function(){ta.trackEventOnPage('postLinkInline', 'impression', 'postLinks-73295440', '');}, 'log_autolink_impression');flight from LA to Paris and received several emails from Kiss and Fly beginning at 11:54am requesting verification of the ""legitimacy of bank card use‏"", which I verified, to 12:06pm at which time I was advised my ""status"" was ""paid and issued"". 2 hours later I received an email that said the booking was cancelled at my request (Kissandfly.com: Refund request for order #2YDCXN has been passed to the finance department‏) and that I would receive a refund on my credit card in 5-10 business days! I called them and said I had never made a request to cancel my booking and was told that because i did not respond to a second email verification of my bank card, They had cancelled the reservation. I asked them why it would take 5-7 days to return my money and they told me this was the banks responsibility. I've called my bank to put an immediate stop on the payment (hopefully they will be able to do this!). This company sounds like they are trying to make money off of cancelling trips while holding on to money for a 5-10 day ""processing"" time. Rubbish. This happens with nearly all refunds from all organisations via a credit card and IS due to the banks. Rubbish. This happens with nearly all refunds from all organisations via a credit card and IS due to the banks. Not rubbish necessarily. Air Canada has on many occasions refunded my money in one day to a credit card. This includes them doing it on the phone when I call to cancel and the refund is there on the card in less than 24 hours. I did say *nearly all* refunds, and the bit about retention to make money is still rubbish. Be careful – hidden extras and a very bad customer service! I had a very bad experience with this company. My bank charged me some extra fees for the ticket payment, because the money had to be transferred to Russia. Kiss and Fly customer service accepted to refund the fee, but ultimately never did. My first and last experience with Kiss and Fly.  Terrible!!! I am trying now at least to get some refund of my ticket...."
"21","14-May","Andrew Bird and Calexico and Iron & Wine have postponed their Great Summer Stroll Tour. ""In the interest of the health of our fans, band, crew, promoters, and venues, we are postponing the Great Summer Stroll tour to June 2021,"" Iron & Wine wrote on Instagram. See the full statement here.","P","Andrew Bird and Calexico","Rock","Yes",NA,NA,NA,"Andrew Bird and Calexico covid cancel refund","https://www.hollywoodbowl.com/events/performances/1098/2020-06-28/canceled-andrew-bird-calexico-and-iron-wine-mandolin-orange",""
"22","13-May","New Order and Pet Shop Boys are postponing their Unity Tour of North America. Originally scheduled to kick off in September, the tour will now commence a year later, in September 2021.","P","New Order and Pet Shop Boys","Rock","Yes",NA,NA,NA,"New Order and Pet Shop Boys covid cancel refund","https://www.nme.com/news/music/new-order-and-pet-shop-boys-postpone-us-co-headline-tour-2667879","Tickets for the original dates will remain valid for the new dates but refunds will be available if required in due course.Thank you for your understanding. Stay safe, and we look forward to seeing you in 2021."
"23","13-May","Iconic British festival Creamfields has postponed this year's event until 2021. The festival was originally slated to take place from Aug. 27:30 and feature sets from Carl Cox, Tiesto, Martin Garrix, Deadmau5, Eric Prydz and more; it is now scheduled for 2021's August Bank Holiday weekend (Aug. 26:29).","P","Creamfields Festival","Festival","No",NA,NA,NA,"Creamfields Festival covid cancel refund","https://www.bbc.com/news/uk-england-manchester-52656816","People who had tickets for the three-day festival between 26 and 29 August are being offered a refund or tickets for next year's event."
