"date","text"
"May 14","Kenny Chesney has pushed all the dates on his NFL stadium Chillaxification tour to 2021. ""No one has tried harder than my team to make the 2020 Chillaxification Tour a reality,"" Chesney wrote in a note to fans. ""Sadly, we can’t find a way to make it safe to navigate water that’s just not getting any clearer."" Original tickets will automatically be valid for the rescheduled show dates."
"May 14","Kiss have postponed their 2020 Kiss Kruise. ""The KISS Kruise X will now set sail October 2021 from Port of Miami,"" a statement on the website reads. ""We will notify you of the exact new sailing dates, lineup and updated event information just as soon as we have all the details finalized. We have extended an invitation for all currently booked artists to join us in 2021 and are excited to share our final lineup featuring some returning and new acts for next year. For a full FAQ and details of the new programs and policies, including transfers and beverage package options, please visit: sixthman.net/assurance. As we embark upon rescheduling an entire Summer and Fall season, we greatly appreciate your patience and understanding as we diligently work to provide you with updated event information as quickly as we can."""
"May 14","Andrew Bird and Calexico and Iron & Wine have postponed their Great Summer Stroll Tour. ""In the interest of the health of our fans, band, crew, promoters, and venues, we are postponing the Great Summer Stroll tour to June 2021,"" Iron & Wine wrote on Instagram. See the full statement here."
"May 13","New Order and Pet Shop Boys are postponing their Unity Tour of North America. Originally scheduled to kick off in September, the tour will now commence a year later, in September 2021."
"May 13","Iconic British festival Creamfields has postponed this year's event until 2021. The festival was originally slated to take place from Aug. 27:30 and feature sets from Carl Cox, Tiesto, Martin Garrix, Deadmau5, Eric Prydz and more; it is now scheduled for 2021's August Bank Holiday weekend (Aug. 26:29)."
"May 13","Slipknot's summer tour dates have been canceled. The band announced on Twitter that all North American and U.K. shows, as well as Knotfest at Sea, are no longer happening due to the coronavirus."
"May 12","Two of England's most iconic festivals, Reading and Leeds, have canceled this summer's events. ""We've been closely monitoring this unprecedented situation and we were hopeful we could deliver the ultimate festival to you in August, something to look forward to in these strange and confusing times,"" read a statement. ""However, it has become clear that it's just not possible for this year's festival to go ahead."" The events were slated to feature the reunited Rage Against the Machine, Stormzy, Liam Gallagher, Migos, Run the Jewels and many more."
"May 12","Bob Dylan's ""Never Ending Tour"" has been put on ice for the summer. Dylan has canceled all of his summer dates, which were slated to kick off in early June and go through mid:July. ""In the interest of public health and safety and after many attempts to try and reschedule these shows for a workable timeframe this year, it is with deep regret that we announce the US Bob Dylan shows originally scheduled for June/July are cancelled,"" the folk rock icon tweeted."
"May 12","The Black Keys have canceled their summer headlining tour. ""We are very disappointed to let you know the US Let's Rock Summer tour is no longer happening,"" the band said in a statement. ""We were looking forward to seeing you all out there, but the health and safety of our fans and crew has to take priority. We hope to see you all soon. Please stay safe!” Ticket holders will be emailed with refund options."
"May 12","Mad Cool Festival in Madrid, Spain announced it's postponing its fifth anniversary weekend one full year back, from July 8:11, 2020 to July 8:11, 2021. ""It has not been an easy decision to make, but we believe is the best one considering the present circumstances. Your health and safety are our priorities,"" the festival wrote in a press statement. ""You are all the most important thing for the festival, and we need you and your friends and family to be careful and follow all the recommendations established by the authorities."" It remains unclear whether the headliners, including Taylor Swift, Billie Eilish, Twenty One Pilots, The Killers, Mumford & Sons and more, will stay on the lineup."
"May 6","The 1975 have canceled their massive Finsbury Park show. ""For now, keep safe, keep healthy and look after each other,"" read a statement shared to the band's social media. The event was set to take place on July 11 at the London park location."
"May 6","Pitchfork has canceled its annual music festival. ""It can be pretty daunting to think about the future of live music right now, but know that we are fully committed to bringing Pitchfork Music Festival back in 2021, if the public health situation allows for it,"" the publication said in a statement. ""In the meantime, we urge everyone to follow local health department guidelines."""
"May 5","Global Citizen and Teneo announced Global Goal Live- The Possible Dream, the year-long campaign and multi-city series of events meant to drive impact for the world to achieve the United Nations Global Goals, will not take place on Sept. 26, 2020. The campaign will extend into 2021 and the major events will be postponed to Sept. 25, 2021."
"May 5","Jack Antonoff announced that his Shadow of the City festival has been rescheduled for May 29, 2021. ""you all know the reasons why and that if there was any way to safely keep it, we would have,"" the statement reads. ""so why all the way to may 2021? because i don't want to mess around. in all our research that is a date that is truly realistic and this show can't be a moving target."""
"May 4","Snoop Dogg announced his U.K. & Ireland I Wanna Thank Me Tour will now take place in Feb. 2021. The tour features Warren G, Tha Dogg Pound, Obie Trice, D12 and Versatile."
"May 4","Journey has canceled their 2020 tour. They were set to hit arenas around North America with The Pretenders. “There is no greater thrill for us than playing for our incredibly devoted audience, but their safety must come first,"" Journey said in a statement."
"May 4","Dave Matthews Band has moved their summer 2020 tour dates to 2021. ""We make this decision with the health, safety, and well:being of our fans, touring crew, and venue staff as our priority,"" DMB said in a statement. See more info here."
"May 4","Canadian Music Week will skip the Toronto music conference and festival’s 2020 edition due to overriding concern for the safety of all participants and attendees. The event had already been postponed from May 19:23 when the coronavirus pandemic hit in March and was rescheduled for Sept. 9:11 at the Sheraton Centre and various venues."
"May 1","The Lumineers have cancelled all of their May and June tour dates. ""Like all of you, we've been closely monitoring the ongoing global pandemic. We are deeply disappointed to announce the cancelation of all of our May and June tour dates,"" the band said in a statement. According to a release, ""Fans who purchased tickets for the upcoming shows scheduled at Live Nation venues will have the option for a full refund, or a credit for 150% of the purchase price and the number of tickets originally purchased will also be donated to healthcare workers."" Learn more here."
"May 1","Kesha's 2020 High Road tour with Big Freedia will not be happening in 2020. ""Thank you for being here, and for your understanding,"" she wrote on Instagram. ""Please stay tuned for more info about new tour dates in 2021. I’m going to boogie with you SO hard next year.  Stay well and stay strong, wishing all of you health!  XOXO. at the end of a storm comes a rainbow."""
"May 1","Phish rescheduled their 2020 tour. "" We’ve been as excited as ever to play music for you all, and are so heartbroken to postpone these dates. The health and well:being of Phish fans, our touring crew, and the communities in which the band plays is our top concern,"" the band wrote on Instagram."
"May 1","Rage Against the Machine announced rescheduled dates for their reunion tour with Run the Jewels. See it here."
"May 1","The June dates of Reba McEntire's Las Vegas residency with Brooks & Dunn were canceled. The show is set to return to the Colosseum at Caesars Palace in October."
"May 1","Kelly Clarkson gave an update about her Las Vegas residency at the Zappos Theater in Planet Hollywood, which was previously pushed back to July 2020 but will now not take the stage until 2021. ""There is just too much uncertainty going on right now, and we want to make sure everybody's safe and we want to make sure everybody can have a good time when you come see me in Vegas:: no one's worrying about anything,"" she said. ""We should be good by then, right?"""
"April 30","Brian Wilson's Good Vibrations-- Greatest Hits Live UK & European dates will be rescheduled in 2021."
"April 30","Lionel Richie canceled his 2020 European tour, assuring fans that ""efforts are being made to reschedule these dates to take place in the summer of 2021."""
"April 30","Bon Iver has rescheduled the band's tour of Australia and New Zealand for March/April 2021."
"April 29","Bad Religion has canceled all tour dates for 2020. ""As everyone is well aware, the ongoing hazard of Covid-19 has made it unsafe to gather in large groups. Therefore, to maintain the health of our fans, crew, and ourselves, Bad Religion will not be playing any shows in 2020,"" the band shared on Instagram. ""When it is safe for all of us to gather together, we will return. Until then, be safe, and take care of each other."""
"April 28","BTS has postponed their entire world tour."
"April 28","Hinder is pushing back the 15th anniversary tour of their debut album, Extreme Behavior.  See the band's website for rescheduled dates."
"April 28","Hayley Williams postponed her European and North American solo tour dates:: which were slated to kick off in May:: until 2021."
"April 27","The Foo Fighters rescheduled their June European tour dates for 2021. The July 4 concert in Landover, Md., has been canceled."
"April 25","Louisville's ""Trifesta,"" which includes the Louder Than Life, Hometown Rising and Bourbon & Beyonce festivals, cancel their 2020 editions. Producer Danny Wimmer Presents explained in a statement that, ""even though the festivals are not until September, the advanced planning realities of producing three back-to-back events have necessitated that a decision be made sooner than later."
"April 24","Sparta has canceled its 2020 tour dates, with plans to hit the road instead in 2021. The Jim Ward-fronted group has just released its new album, Trust the River."
"April 22","Little Mix announced that their U.K. summer tour is canceled due to the government's advice about social distancing. ""Please stay safe and stay home, lots of love,"" they tweeted."
"April 22","Insane Clown Posse announced that their annual Gathering of the Juggalos is canceled this year. ""We can't possibly in good conscience even consider trying to put on a Gathering during these times,"" the group shared in an Instagram post. ""The bottom line is we simply REFUSE to risk even ONE Juggalo life by hosting a Gathering during these troubling times."""
"April 22","Hayley Williams is rescheduling her U.K. and Europe tour dates in support of Petals for Armor for 2021. She also announced that U.S. dates will be pushed back, but has not yet provided new dates. ""We will be together again,"" she tweeted along with an image of her announcement."
"April 22","Ireland's Longitude 2020 festival has been canceled, but plans to return next year. ""While we are obviously devastated that Longitude won’t be going ahead, the health and safety of our fans and staff is paramount and we fully respect the Government’s decision,"" the organizers said, noting the country's order that any events with a capacity of 5,000+ must be postponed through Aug. 31, 2020. ""We would like to take this opportunity to thank the frontline workers currently giving their all to keep us safe."""
"April 21","The Dutch WOO HAH! festival-- slated to feature Kendrick Lamar, A$AP Ferg, Lil Tecca, DaBaby, Ski Mask the Slump God and others-- is moving back one year to July 2-11, 2021."
"April 21","The first seven dates of the Big Rock Summer Tour in May and June are being rescheduled. The outing slated to feature Ratt, Tom Keifer of Cinderella, Skid Row and Slaughter has not yet announced when the shows:: June 3, 6, 9, 10, 12, 13 and 14:: will take place."
"April 21","Dead & Company announced on that they've made the decision to cancel their 17:date summer tour.""Because of the global coronavirus outbreak and to help prevent the spread of COVID:19, we have no choice but to cancel Dead & Company's Summer Tour 2020,"" the band wrote in a statement. ""The well:being and safety of our Deadhead community, venue staff and the band’s touring family is of the utmost importance. We also want to get refunds back to our fans while so many are hurting economically. All tickets will be fully refunded at point of purchase."""
"April 21","Shambhala Music Festival 2020 will not happen due to coronavirus. In a statement released by the Canadian electronic festival Tuesday (April 21), organizers announced that the event scheduled for July 24:27, 2020, will be ""postponed"" until July 2021, when the next iteration of the festival was scheduled to occur."
"April 21","Las Vegas' Life is Beautiful festival has announced that the three:day event will not happen this year due to the coronavirus. However, Life is Beautiful is working to create new initiatives that will impact supporters on a local, national and global scale, in addition to making a full return with the festival in 2021.“It’s clear the health and economic hardships from the COVID:19 crisis will impact us all for some time to come,” festival organizer Justin Weniger said in a statement. “In light of this, we made the determination to re:examine the role Life is Beautiful plays in the community and how we can put our resources, creativity and time into doing what we always set out to do: inspire and bring together a community.”"
"April 20","Bon Jovi announced on April 20 that they are canceling their 2020 North American tour. ""Due to the ongoing global pandemic, it is no longer feasible for Bon Jovi to tour this summer. Given these difficult times, we have made the decision to cancel the tour entirely,"" the band shared in a statement. ""This will enable ticketholders to get refunds to help pay their bills or buy groceries. These are trying times."""
"April 20","Iron Maiden canceled their Legacy of the Beast shows, scheduled for June and July, in Germany due to the government's extension of the ban on large gatherings through August. ""We all need to help bring an end to this Pandemic by following the advice and helping one another when we can, especially the more vulnerable,"" the band's manager tweeted from the Iron Maiden account. ""We want to see you all healthy and well when we make it to your country. And we want to see you as much as you want to see us!"""
"April 20","NYC Pride canceled all in:person events for their 2020 festival, in conjunction with Mayor Bill de Blasio's office, which voided all large event permits in the city for the month of June. Pride Island, the annual music festival held each year whose 2020 roster boasted Janelle Monae as a headliner, was among the many events canceled. ""As the days have passed, it has become more and more clear that even with a decline in the spread of COVID:19, large:scale events such as ours are unlikely to happen in the near future,” NYC Pride co:chair Maryanne Roberto Fine said in a statement released with the news. “We understand that we need to reimagine NYC Pride events: and have already begun to do just that."""
"April 17","For the first time in its 53-year history, the Montreux Jazz Festival won't take place. The famous Swiss fest was scheduled for July 3-18 with performers including Lionel Richie, Brittany Howard, Lenny Kravitz and Black Pumas. Organizers are working on booking those artists and others for the summer 2021 fest."
"April 17","Against Me! have canceled their May tour of North America with Baroness. Refunds can be obtained from the original point of purchase. ""I hope that it's apparent that this is absolutely not at all what any of us want, and if we had any real choice in the matter we would for sure be out on the road this May,"" said frontwoman Laura Jane Grace in a statement. ""My definite hope is that this tour does still happen at some point in the future when able."""
"April 17","Shawn Colvin's 30th anniversary shows for Steady On have been rescheduled, and a new March 2021 date added. Tickets will be honored for the new dates. More information about the new dates an tickets is available here."
"April 17","The Black Keys have canceled their May Canadian tour. “With the safety of our fans and crew in mind, our upcoming Canadian tour this May has been canceled,” they wrote in a statement. “We are sad to miss these shows, and we hope to see you all soon. Refunds will be issued at the point of purchase. Please stay safe!”"
"April 16","Louisville, Kentucky's Forecastle Festival (July 17-19), scheduled to feature Jack Johnson, Cage The Elephant, The 1975, and many more has canceled the 2020 edition. Organizers area offering automatic refunds at the point of purchase."
"April 16","Santana's May 2020 dates at the House of Blues Las Vegas have been canceled; refunds are available at the point of purchase. Carlos Santana plans to continue his residency, ""An Intimate Evening With Santana: Greatest Hits Live,"" Sept. 16:27 and Nov. 4:15 at the same venue."
"April 16","The EAMC Board Officers, Board of Directors and Planning Committee, have announced that they will reschedule the 2020 Event and Arena Marketing Conference to June 2021. In lieu of the 2020 conference that was set to take place in June, EAMC will have EAMC at Home starting April 30 with a series of webinars."
"April 16","The 2020 New Orleans Jazz and Heritage Festival was officially canceled Thursday. Festival organizers had already postponed the festival, which usually spans two spring weekends, until the fall. But they announced on the festival website that they would not attempt this year to hold the event."
"April 15","Thom Yorke announced that the U.S. leg of his Tomorrow's Modern Boxes tour has been postponed until the fall. Tickets for the original shows will be honored at the concerts in the same cities and venues. The only exceptions are the Fairfax, Va., show, which has moved to D.C.; Chicago, which has a venue change; and St. Paul, Minn., which has been canceled. The musician shared the announcement, new dates, and refund information via a tweet."
"April 15","Foals and Local Natives have canceled their joint U.S. and Canada tour due to the global pandemic. ""We are heartbroken that we can't be together this summer to play for you,"" they said in a statement. In the meantime, the bands are releasing the remixes they did: The Foals' take on Local Natives' ""Dark Days"" and Local Natives' remix of Foals' ""Neptune,"" which they were going to originally release at the tour's kickoff, are available here now."
"April 15","The SWANS have rescheduled their North American tour dates for January and February 2021. Tickets for all of their 2020 shows will be honored in their cities, with the exception of Austin Festival. Tour dates and ticket information is available here."
"April 15","Initially rescheduled from its original July 2020 dates to later in the fall, the 2020 Essence Festival of Culture is now officially canceled and will return in 2021. The cancellation was announced Wednesday (April 15) following New Orleans Mayor LaToya Cantrell’s recommendation that “no large events take place in New Orleans in 2020” owing to the coronavirus pandemic. Essence will honor all tickets sold for the 2020 festival in 2021 and will also offer full refunds. Ticket holders can visit essencefestival.com for further information. The company also announced the establishment of the Essence Benefit Series to Fight COVID:19 that will raise money and provide support for businesses and organizations in black communities across the country. And the first:ever Essence Festival of Culture: The Virtual Edition will take place over July 4 weekend."
"April 15","Tomorrowland 2020, scheduled for July 17:19 and July 24:26, has been canceled due to coronavirus.In a statement released earlier Wednesday (April 15), organizers of the Belgian dance mega:festival wrote that ""Unfortunately, due to the worldwide coronavirus outbreak, these are exceptional times for all of us. In recent weeks, we have had a lot of consultation with the local and national government in Belgium and with a panel of international experts about the two festival weekends we are all so passionate about. It's our mission to unite souls from all over the world, but it’s also our top priority to look after the well:being, health, and safety of the People of Tomorrow, our partners and suppliers, our neighbors, the artists, and our team."""
"April 14","Summerfest in Milwaukee, WI announced that the first rescheduled concert for fall with country artist Sam Huntand special guests Kip Moore, Travis Denning, and Ernest will now take place on Friday, September 4, 2020 at the American Family Insurance Amphitheater.  Summerfest previously announced that the 2020 edition of the festival will take place over 3 weekends- September 3-5, 10-12, and 17-19."
"April 14","Godsmack singer Sully Erna announced that the band's planned summer tour with The Pretty Reckless has been cancelled. No information has been announced about make:up dates."
"April 13","International drag performer Violet Chachki has announced rescheduled spring and summer dates for her A Lot More Me North American Tour. It will now start in September and run through February 2021. Visit VioletChachki.com for the latest information."
"April 11","Shania Twain has canceled all of her Las Vegas residency performances at the Zappos Theater through June 6 ""in accordance with CDC recommendations regarding events."" At this time, her Let's Go! show is scheduled to resume in August."
"April 10","LOCKN' postponed its annual festival until Oct. 1-4. The lineup will be announced at a later time; previously purchased tickets will be honored for the rescheduled dates."
"April 9","Tegan and Sara have postponed their Tonight We're Seeing Colors Tour. ""We are desperate to get out on tour and can't wait to see you all,"" Tegan Quin said in a video to fans."
"April 9","NYC's Lincoln Center for the Performing Arts canceled its summer program series for 2020, which includes Midsummer Night Swing, the Mostly Mozart Festival and Lincoln Center Out of Doors."
"April 9","Burning Man announced that it decided ""not to build Black Rock City in 2020."" The festival will provide refunds to all who need it. To replace the festival, which was scheduled from August 30 to September 7, the event are ""going to build Black Rock City in The Multiverse,"" announced in a statement here. ""That’s the theme for 2020 so we’re going to lean into it. Who’d have believed it would come true? We look forward to welcoming you to Virtual Black Rock City 2020. We’re not sure how it’s going to come out; it will likely be messy and awkward with mistakes. It will also likely be engaging, connective, and fun."""
"April 8","WOMAD canceled its annual festival this year, and will proceed to plan for the 2021 event instead. ""Safety for all of our festivalgoers, artists and our own staff surpasses everything,"" festival co-founder Peter Gabriel said in a statement. ""Many of the artists have already offered, or agreed, to play for us next year and we will now put our energies into making a great WOMAD 2021."""
"April 7","The June installment of the biannual dance-centric pool party Splash House has been canceled. In a statement, organizers announced- ""After careful thought, and in following the guidance of local, state and national authorities we are sad to announce that the June edition of Splash House will not take place this year."""
"April 6","London's 2020 La Linea Latin music festival, originally slated to run in April and May, is rescheduled for September and October."
"April 6","PromoWest Productions announced the cancellation of the 2020 Bunbury Music Festival, citing current government mandates and circumstances surrounding COVID:19. The ninth annual event was originally scheduled forJune 5:7 at downtown Cincinnati’s Sawyer Point and Yeatman’s Cove."
"April 6","…And You Will Know Us by the Trail of Dead announced today that their spring North American headline tour dates set to kick off later this month, have been rescheduled to July 2020."
"April 6","Marty Stuart’s 19th “Late Night Jam,” the annual concert during CMA’s Music Festival at Nashville’s Ryman Auditorium, has been canceled due to coronavirus concerns. Marty Stuart & His Fabulous Superlatives have  also postponed dates throughout the spring. ""The safety and health of our fans and crew are our top priorities,"" Stuart noted. See more information here."
"April 6","As a result of the COVID:19 pandemic, for the first time in forty:four years the 2020 Beale Street Music Festival has been rescheduled to the fall. The three:day event, which was set to take place from May 1:3, will now take place in Tom Lee Park on the banks of the Mississippi River, Oct. 16:18 in downtown Memphis."
"April 4","Bad Bunny's upcoming San Juan, Puerto Rico, shows were set to take place on May 11 and 12 at the Hiram Bithorn Stadium, but have now been rescheduled for Oct. 30 and 31."
"April 4","April 3 : Niall Horan announced his world tour postponement with a heartbroken message on social media. ""This was a difficult decision, but the well:being of my fans and my touring family is always my priority,"" he wrote in the note, fittingly backdropped by an image of a thunderstorm (seemingly from the image on his Heartbreak Weather album art)."
"April 4","James Taylor and His All:Star Band, with special guest Jackson Browne, have postponed their upcoming tour. New dates will be announced soon. ""As this summer's tour of 27 towns and cities across the US drew near, we've been increasingly excited to hit the road again,"" Taylor and Browne said in a joint statement. ""So it's deeply disappointing for both of us to have to call it off and reschedule (and reschedule we WILL)! As we all now realize, COVID:19 is a serious, real and present danger. Moreover, our public health is all of our responsibility. So let us listen to and follow the directions of our public healthcare people and support their efforts in this unprecedented time of global pandemic. Love those around you and, above all, stay safe and healthy."""
"April 1","Justin Bieber announced the postponement of his 2020 Changes Tour, which was slated to run May 14- Sept. 26. ""In light of the current public health crisis, and with the deepest concern for all those being affected, Justin Bieber will be postponing all currently scheduled 2020 dates for The Changes Tour,"" read the official statement."
"April 1","Michael Buble postponed several May dates of his An Evening With Michael Buble Tour."
"April 1","Modern English postponed their 40th anniversary tour of North America. ""We all need to take the utmost care of each other and especially support the medical staff and key workers who are striving to save us all. Please stay at home...The plan is to reconvene in September,"" said the group's Mick Conroy."
"March 31","Alabama's Hangout Fest canceled its Gulf Shore beachside bash, which was originally scheduled for May 15-17. The three-day event is exploring any potential new dates of its 2020 edition, which is slated to feature performances from the Red Hot Chili Peppers, Billie Eilish, Post Malone, Lana Del Rey and more. ""This morning we received notice from the City of Gulf Shores that Hangout 2020 cannot proceed in May due to COVID-19,"" the music festival tweeted. ""After our fastest sellout ever, and what was shaping up to be a banner year on the beach, we are gutted that this is the outcome for all of you, but agree that this is the right decision for the health and safety of everyone involved."""
"March 31","Australia's Helpmann Awards, the live industry's flagship awards ceremony, has been cancelled for 2020. “Our number one priority right now is to secure more government support for the hundreds of thousands of people across our industry who have lost income and work as a result of the shutdowns,"" explains Evelyn Richardson, CEO of Live Performance Australia, organizer of the annual gala."
"March 31","Queen and Adam Lambert announced that the upcoming European leg of the Rhapsody Tour would be postponed until next year."
"March 30","Miami's electronic and alternative festival III Points has announced it will postpone to the fall. Originally scheduled for May 1-2, the event is now set for Oct. 16-17 in its original location at Mana Wynwood in Miami’s Wynwood Arts District. In addition to original headliners The Strokes, Robyn, Wu-Tang Clan, Kaytranada, Caribou, Amon Tobin Presents Two Fingers, Tycho and Green Velvet, III Points has also added Rüfüs Du Sol, Artbat, Chromatics and Peaches doing a 20th-anniversary performance of Teaches of Peaches."
"March 30","Annual music business conference Midem is moving its 2020 edition:: which was set for June 2:5 in Cannes:: online instead. The Midem Digital Edition will livestream globally during those dates, allowing virtual attendees to ""discuss, collaborate and share solutions with a focus on the most impacted music stakeholders,"" according to a press release. Meanwhile, the next in:person edition of Midem is set for June 1:4, 2021, in Cannes, marking the event's 55th anniversary."
"March 30","Similarly, the American Association of Independent Music (A2IM) is moving its Indie Week event for the independent music industry, which culminates in the Libera Awards, online. The virtual edition will take place during the same dates originally planned, June 15:18. Usually, the four:day event is held in New York City."
"March 30","Purity Ring has postponed their May:June tour to the fall. ""We haven't toured for years and we were very much looking forward...we are still pumped to get out and see you as soon as it will be safe to do so,"" the band said in a statement."
"March 28","Primavera Sound, which typically kicks off the summer at Barcelona's Parc del Forum, will be shifting to the end of the season. The festival will now take place Aug. 26-30 at the same location, and they're hoping to maintain as much of their original lineup-- which featured Lana Del Rey, Bad Bunny, Tyler, The Creator and more as headliners-- for their new dates. In a statement published on Saturday, the Primavera Sound team wrote they ""will make every effort to ensure that this change, imposed as a result of the current global health crisis, affects the festival’s programme as little as possible."""
"March 27","After initially stating March 13 that it planned to move forward with its scheduled July 1-5 dates in New Orleans, Essence Fest 2020 announced late Friday that it will move ""closer to the fall"" instead, given the heightened concerns around the coronavirus."
"March 27","Ringo Starr's All Starr Band has rescheduled its spring 2020 tour to spring/summer 2021. The tour was slated to kick off May 29 at Casino Rama in Rama, Ontario, Canada. “This is very difficult for me,” Starr said in a statement. “In 30 years I think I’ve only missed 2 or 3 gigs, never mind a whole tour.  But this is how things are for all of us now, I have to stay in just like you have to stay in, and we all know it’s the peace and loving thing we do for each other.”"
"March 26","BTS is rescheduling the upcoming North America dates for its world tour amid the ongoing novel coronavirus pandemic. The Map of the Soul tour was scheduled to kick off April 25 and 26 in Santa Clara, Calif., followed by three days at the Rose Bowl in Pasadena in early May and winding through Dallas, Orlando, Atlanta, New Jersey, Washington D.C. and Toronto before ending June 5 and 6 at Soldier Field in Chicago."
"March 26","Britain's Download Festival 2020 is canceled. “This decision hasn’t been taken lightly and we’re beyond disappointed, we extend our heartfelt apologies to all of you: we really did try to make this work,"" a statement reads. The hard rock and fest spectacular was scheduled to take place June 12:14 at Donington Park."
"March 26","Mountain Jam, which was set to take place May 29:31 in Bethel, N.Y., has been canceled. ""We want to thank everyone who has stood by us over the years and look forward to making Mountain Jam 2021 the best festival ever. Stay safe, and we will see you next year. Tickets will automatically be refunded at point of purchase,"" organizers said in a statement."
"March 26","The 2020 Isle of Wight Festival is scrapped. “This decision hasn't been taken lightly and we have tried our hardest to make it work, but it was unavoidable given the current status,” a statement explains. The popular event was slated for June 11: 14 at Seaclose Park in Newport."
